ts;id;resource;event
Sun Feb 27 00:10:59 CET 2022;1428;cell2;cell2_operation
Sun Feb 27 00:11:05 CET 2022;1426;system;order_completed
Sun Feb 27 00:11:09 CET 2022;1444;agv;transport_to_cell1_buffer
Sun Feb 27 00:11:39 CET 2022;1445;agv;transport_to_cell2_buffer
Sun Feb 27 00:13:32 CET 2022;1441;cell1_buffer;enter_cell1
Sun Feb 27 00:13:32 CET 2022;1441;cell1;cell1_operation
Sun Feb 27 00:13:37 CET 2022;1446;agv;transport_to_cell1_buffer
Sun Feb 27 00:13:37 CET 2022;1447;agv;transport_to_cell2_buffer
Sun Feb 27 00:17:25 CET 2022;1428;system;order_completed
Sun Feb 27 00:18:09 CET 2022;1502;system;new_order
Sun Feb 27 00:18:09 CET 2022;1502;system;direct_to_line1
Sun Feb 27 00:19:51 CET 2022;1442;cell1_buffer;enter_cell1
Sun Feb 27 00:19:51 CET 2022;1442;cell1;cell1_operation
Sun Feb 27 00:19:57 CET 2022;1441;system;order_completed
Sun Feb 27 00:21:43 CET 2022;1503;system;new_order
Sun Feb 27 00:21:43 CET 2022;1503;system;direct_to_line1
Sun Feb 27 00:24:33 CET 2022;1504;system;new_order
Sun Feb 27 00:24:33 CET 2022;1504;system;direct_to_line1
Sun Feb 27 00:26:07 CET 2022;1443;cell1_buffer;enter_cell1
Sun Feb 27 00:26:07 CET 2022;1443;cell1;cell1_operation
Sun Feb 27 00:26:13 CET 2022;1442;system;order_completed
Sun Feb 27 00:27:54 CET 2022;1429;cell2_buffer;enter_cell2
Sun Feb 27 00:27:54 CET 2022;1429;cell2;cell2_operation
Sun Feb 27 00:27:54 CET 2022;1448;agv;transport_to_cell1_buffer
Sun Feb 27 00:28:46 CET 2022;1505;system;new_order
Sun Feb 27 00:28:46 CET 2022;1505;system;direct_to_line2
Sun Feb 27 00:31:23 CET 2022;1444;cell1_buffer;enter_cell1
Sun Feb 27 00:31:23 CET 2022;1444;cell1;cell1_operation
Sun Feb 27 00:31:29 CET 2022;1443;system;order_completed
Sun Feb 27 00:32:03 CET 2022;1449;agv;transport_to_cell2_buffer
Sun Feb 27 00:33:24 CET 2022;1432;cell2_buffer;enter_cell2
Sun Feb 27 00:33:24 CET 2022;1432;cell2;cell2_operation
Sun Feb 27 00:33:30 CET 2022;1429;system;order_completed
Sun Feb 27 00:34:56 CET 2022;1450;agv;transport_to_cell1_buffer
Sun Feb 27 00:36:48 CET 2022;1451;agv;transport_to_cell2_buffer
Sun Feb 27 00:37:28 CET 2022;1446;cell1_buffer;enter_cell1
Sun Feb 27 00:37:28 CET 2022;1446;cell1;cell1_operation
Sun Feb 27 00:37:33 CET 2022;1444;system;order_completed
Sun Feb 27 00:38:14 CET 2022;1433;cell2_buffer;enter_cell2
Sun Feb 27 00:38:14 CET 2022;1433;cell2;cell2_operation
