ts;resource;state
Thu Feb 24 04:27:30 CET 2022;cell2;failure
Thu Feb 24 04:28:28 CET 2022;agv;idle
Thu Feb 24 04:28:56 CET 2022;cell1;idle
Thu Feb 24 04:28:56 CET 2022;cell1;busy
Thu Feb 24 04:35:05 CET 2022;cell1;idle
Thu Feb 24 04:35:05 CET 2022;cell1;busy
Thu Feb 24 04:39:12 CET 2022;agv;busy
Thu Feb 24 04:39:22 CET 2022;cell2;idle
Thu Feb 24 04:41:01 CET 2022;cell1;idle
Thu Feb 24 04:41:51 CET 2022;agv;idle
Thu Feb 24 04:41:51 CET 2022;cell2;busy
Thu Feb 24 04:41:51 CET 2022;agv;busy
Thu Feb 24 04:42:23 CET 2022;cell1;failure
Thu Feb 24 04:43:00 CET 2022;agv;idle
Thu Feb 24 04:43:00 CET 2022;agv;busy
Thu Feb 24 04:44:59 CET 2022;agv;idle
Thu Feb 24 04:44:59 CET 2022;agv;busy
Thu Feb 24 04:46:57 CET 2022;agv;idle
Thu Feb 24 04:48:00 CET 2022;agv;busy
Thu Feb 24 04:48:26 CET 2022;cell2;idle
Thu Feb 24 04:48:26 CET 2022;cell2;busy
Thu Feb 24 04:50:11 CET 2022;agv;idle
Thu Feb 24 04:50:11 CET 2022;agv;busy
Thu Feb 24 04:51:35 CET 2022;agv;idle
Thu Feb 24 04:52:17 CET 2022;cell1;idle
Thu Feb 24 04:52:17 CET 2022;cell1;busy
Thu Feb 24 04:53:03 CET 2022;cell2;idle
Thu Feb 24 04:53:03 CET 2022;cell2;busy
Thu Feb 24 04:54:13 CET 2022;agv;busy
Thu Feb 24 04:57:08 CET 2022;agv;idle
Thu Feb 24 04:57:08 CET 2022;agv;busy
Thu Feb 24 04:58:33 CET 2022;cell1;idle
Thu Feb 24 04:58:33 CET 2022;cell1;busy
Thu Feb 24 04:59:29 CET 2022;cell2;idle
Thu Feb 24 04:59:29 CET 2022;cell2;failure
Thu Feb 24 05:02:06 CET 2022;agv;idle
Thu Feb 24 05:02:06 CET 2022;agv;busy
Thu Feb 24 05:03:00 CET 2022;cell1;idle
Thu Feb 24 05:03:00 CET 2022;cell1;busy
Thu Feb 24 05:05:58 CET 2022;agv;idle
Thu Feb 24 05:05:58 CET 2022;agv;busy
Thu Feb 24 05:07:19 CET 2022;agv;idle
Thu Feb 24 05:07:19 CET 2022;agv;busy
Thu Feb 24 05:08:50 CET 2022;cell2;idle
Thu Feb 24 05:08:50 CET 2022;cell2;busy
